x,y,z,vx,vy,vz,mass
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000e+00
-0.324343,0.229899,0.000000,-5.966984,-8.026969,0.000000,1.000000e-12
-0.323938,0.230962,0.000000,-5.986752,-8.007895,0.000000,1.000000e-12
-0.323530,0.232024,0.000000,-6.006438,-7.988770,0.000000,1.000000e-12
-0.323119,0.233084,0.000000,-6.026024,-7.969640,0.000000,1.000000e-12
-0.322706,0.234142,0.000000,-6.045519,-7.950479,0.000000,1.000000e-12
-0.322291,0.235198,0.000000,-6.064908,-7.931319,0.000000,1.000000e-12
-0.321874,0.236252,0.000000,-6.084204,-7.912130,0.000000,1.000000e-12
-0.321455,0.237303,0.000000,-6.103399,-7.892945,0.000000,1.000000e-12
-0.321034,0.238352,0.000000,-6.122499,-7.873734,0.000000,1.000000e-12
-0.320610,0.239400,0.000000,-6.141496,-7.854511,0.000000,1.000000e-12
-0.320185,0.240445,0.000000,-6.160398,-7.835291,0.000000,1.000000e-12
-0.319757,0.241487,0.000000,-6.179193,-7.816064,0.000000,1.000000e-12
-0.319328,0.242528,0.000000,-6.197905,-7.796794,0.000000,1.000000e-12
-0.318896,0.243567,0.000000,-6.216517,-7.777537,0.000000,1.000000e-12
-0.318463,0.244604,0.000000,-6.235049,-7.758245,0.000000,1.000000e-12
-0.318027,0.245639,0.000000,-6.253475,-7.738949,0.000000,1.000000e-12
-0.317590,0.246670,0.000000,-6.271788,-7.719669,0.000000,1.000000e-12
-0.317150,0.247700,0.000000,-6.290020,-7.700371,0.000000,1.000000e-12
-0.316708,0.248729,0.000000,-6.308170,-7.681035,0.000000,1.000000e-12
-0.316265,0.249755,0.000000,-6.326214,-7.661712,0.000000,1.000000e-12
-0.315819,0.250778,0.000000,-6.344156,-7.642385,0.000000,1.000000e-12
-0.315372,0.251801,0.000000,-6.362022,-7.623024,0.000000,1.000000e-12
-0.314923,0.252820,0.000000,-6.379781,-7.603683,0.000000,1.000000e-12
